year,COWcode,v2x_polyarchy,e_pt_coup,e_wb_pop,e_peinfmor,e_mipopula,e_pop,e_gdppc,e_peaveduc
1789,70,0.026,,,,,645.627,1.352,
1790,70,0.026,,,,,647.112,1.357,
1791,70,0.026,,,,,647.464,1.371,
1792,70,0.026,,,,,649.721,1.389,
1793,70,0.026,,,,,650.911,1.401,
1794,70,0.026,,,,,654.68,1.409,
1795,70,0.026,,,,,654.622,1.413,
1796,70,0.026,,,,,655.345,1.403,
1797,70,0.026,,,,,654.773,1.392,
1798,70,0.026,,,,,657.793,1.378,
1799,70,0.026,,,,,658.654,1.363,
1800,70,0.026,,,,5100,662.16,1.348,
1801,70,0.026,,,,5174.35,663.717,1.336,
1802,70,0.026,,,,5248.7,662.653,1.316,
1803,70,0.026,,,,5323.05,665.123,1.304,
1804,70,0.026,,,,5397.4,669.238,1.282,
1805,70,0.026,,,,5471.75,671.656,1.26,
1806,70,0.026,,,,5546.1,675.055,1.237,
1807,70,0.026,,,,5620.45,677.081,1.211,
1808,70,0.026,,,,5694.8,678.424,1.182,
1809,70,0.026,,,,5769.15,681.308,1.152,
1810,70,0.029,,,,5843.5,682.706,1.128,
1811,70,0.029,,,,5917.85,683.999,1.106,
1812,70,0.036,,,,5992.2,683.164,1.107,
1813,70,0.051,,,,6066.55,683.712,1.101,
1814,70,0.051,,,,6140.9,685.856,1.088,
1815,70,0.051,,,,6215.25,689.349,1.079,
1816,70,0.038,,,,6289.6,690.739,1.083,
1817,70,0.038,,,,6363.95,694.026,1.074,
1818,70,0.038,,,,6438.3,697.043,1.073,
1819,70,0.038,,,,6512.65,701.51,1.068,
1820,70,0.046,,,,6587,703.97,1.059,
1821,70,0.09,,,,6566.5,708.553,1.057,
1822,70,0.147,,,,6546,713.231,1.06,
1823,70,0.174,,,,6525.5,714.587,1.059,
1824,70,0.178,,,,6505,720.703,1.058,
1825,70,0.178,,,,6484.5,728.179,1.062,
1826,70,0.178,,,,6464,728.177,1.066,
1827,70,0.178,,,,6443.5,734.91,1.066,
1828,70,0.178,,,,6423,741.883,1.073,
1829,70,0.178,,,,6402.5,743.063,1.077,
1830,70,0.147,,,,6382,746.907,1.083,
1831,70,0.147,,,,6448.2,750.299,1.085,
1832,70,0.159,,,,6514.4,755.957,1.085,
1833,70,0.178,,,,6580.6,760.382,1.083,
1834,70,0.178,,,,6646.8,766.241,1.088,
1835,70,0.178,,,,6713,772.089,1.092,
1836,70,0.178,,,,6779.2,774.805,1.086,
1837,70,0.159,,,,6845.4,780.33,1.079,
1838,70,0.159,,,,6911.6,790.175,1.087,
1839,70,0.159,,,,6977.8,794.834,1.078,
1840,70,0.159,,,,7044,800.585,1.07,
1841,70,0.152,,,,7105.8,802.968,1.071,
1842,70,0.183,,,,7167.6,802.944,1.07,
1843,70,0.226,,,,7229.4,807.38,1.077,
1844,70,0.226,,,,7291.2,808.051,1.076,
1845,70,0.226,,,,7353,811.456,1.078,
1846,70,0.193,,,,7414.8,813.128,1.078,
1847,70,0.211,,,,7476.6,820.974,1.079,
1848,70,0.226,,,,7538.4,823.762,1.074,
1849,70,0.226,,,,7600.2,825.523,1.075,
1850,70,0.192,,,,7662,826.787,1.078,
1851,70,0.192,,,,7777.4,835.126,1.077,
1852,70,0.192,,,,7892.8,845.199,1.065,
1853,70,0.192,,,,8008.2,852.416,1.056,
1854,70,0.232,,,,8123.6,859.507,1.054,
1855,70,0.232,,,,8239,866.566,1.042,
1856,70,0.232,,,,8354.4,875.825,1.033,
1857,70,0.251,,,,8469.8,884.711,1.027,
1858,70,0.146,,,,8585.2,889.426,1.013,
1859,70,0.141,,,,8700.6,897.507,1.009,
1860,70,0.141,,,,8816,907.195,0.998,
1861,70,0.141,,,,8856.3,915.339,1.004,
1862,70,0.141,,,,8896.6,925.806,1.01,
1863,70,0.141,,,,8936.9,935.545,1.026,
1864,70,0.141,,,,8977.2,946.886,1.036,
1865,70,0.141,,,,9017.5,956.924,1.053,
1866,70,0.141,,,,9057.8,961.535,1.059,
1867,70,0.174,,,,9098.1,969.228,1.071,
1868,70,0.193,,,,9138.4,976.356,1.085,
1869,70,0.193,,,,9178.7,979.19,1.092,
1870,70,0.193,,,,9219,983.585,1.104,0.56
1871,70,0.193,,,,9337,995.769,1.128,0.578
1872,70,0.193,,,,9455,1006.109,1.159,0.596
1873,70,0.193,,,,9573,1018.139,1.184,0.614
1874,70,0.193,,,,9691,1028.345,1.21,0.632
1875,70,0.193,,,,9809,1039.021,1.236,0.65
1876,70,0.185,,,,9927,1049.969,1.259,0.668
1877,70,0.129,,,,10045,1065.102,1.287,0.686
1878,70,0.129,,,,10163,1079.712,1.311,0.704
1879,70,0.129,,,,10281,1093.706,1.344,0.722
1880,70,0.129,,,,10399,1109.316,1.365,0.74
1881,70,0.129,,,,10532,1123.024,1.389,0.757
1882,70,0.129,,,,10665,1130.75,1.417,0.774
1883,70,0.129,,,,10798,1149.668,1.439,0.791
1884,70,0.129,,,,10931,1161.642,1.465,0.808
1885,70,0.129,,,,11064,1176.579,1.484,0.825
1886,70,0.129,,,,11197,1191.214,1.512,0.842
1887,70,0.129,,,,11330,1203.544,1.532,0.859
1888,70,0.129,,,,11463,1219.281,1.565,0.876
1889,70,0.129,,,,11596,1237.55,1.595,0.893
1890,70,0.129,,,,11729,1244.586,1.615,0.91
1891,70,0.129,,,,11916.8,1268.702,1.636,0.928
1892,70,0.129,,,,12104.6,1291.203,1.664,0.946
1893,70,0.129,,,,12292.4,1307.841,1.707,0.964
1894,70,0.129,,,,12480.2,1328.143,1.744,0.982
1895,70,0.129,,,,12668,1352.028,1.783,1
1896,70,0.129,,,,12855.8,1369.205,1.825,1.018
1897,70,0.129,,,,13043.6,1385.931,1.872,1.036
1898,70,0.129,,,,13231.4,1405.27,1.899,1.054
1899,70,0.129,,,,13419.2,1424.783,1.878,1.072
1900,70,0.109,,,,13607,1442.782,1.89,1.09
1901,70,0.109,,,,13746.3,1458.443,1.914,1.107
1902,70,0.109,,,,13885.6,1478.679,1.929,1.124
1903,70,0.109,,,,14024.9,1494.646,1.99,1.141
1904,70,0.109,,,,14164.2,1511.099,2.049,1.158
1905,70,0.109,,,,14303.5,1528.193,2.128,1.175
1906,70,0.109,,,,14442.8,1539.778,2.165,1.192
1907,70,0.109,,,,14582.1,1553.657,2.196,1.209
1908,70,0.109,,,,14721.4,1562.704,2.216,1.226
1909,70,0.109,,,,14860.7,1579.123,2.221,1.243
1910,70,0.117,,,,15000,1590.611,2.206,1.26
1911,70,0.124,,,,14990,1588.64,2.174,1.27
1912,70,0.189,,,,14980,1587.278,2.143,1.28
1913,70,0.113,,,,14970,1591.26,2.103,1.29
1914,70,0.104,,,,14960,1588.208,2.096,1.3
1915,70,0.108,,,,14950,1586.729,2.117,1.31
1916,70,0.112,,,,14940,1586.005,2.184,1.32
1917,70,0.147,,,,14930,1589.743,2.27,1.33
1918,70,0.226,,,,14920,1596.165,2.345,1.34
1919,70,0.224,,,,14910,1595.141,2.426,1.35
1920,70,0.202,,,,14900,1598.872,2.52,1.36
1921,70,0.194,,,,15127.5,1604.594,2.571,1.376
1922,70,0.194,,,,15355,1615.445,2.6,1.392
1923,70,0.194,,,,15582.5,1638.896,2.639,1.408
1924,70,0.192,,,,15810,1659.243,2.635,1.424
1925,70,0.189,,,,16037.5,1690.218,2.666,1.44
1926,70,0.186,,,,16265,1713.783,2.682,1.456
1927,70,0.186,,,,16492.5,1742.491,2.635,1.472
1928,70,0.185,,,,16720,1770.063,2.572,1.488
1929,70,0.184,,,,16947.5,1796.878,2.464,1.504
1930,70,0.179,,,,17175,1828.935,2.36,1.52
1931,70,0.179,,,,17496.8,1861.046,2.283,1.56
1932,70,0.179,,,,17818.6,1888.058,2.197,1.6
1933,70,0.179,,,,18140.4,1922.645,2.209,1.64
1934,70,0.185,,,,18462.2,1961.334,2.284,1.68
1935,70,0.195,,,,18784,1996.125,2.369,1.72
1936,70,0.195,,,,19105.8,2024.635,2.449,1.76
1937,70,0.194,,,,19427.6,2059.167,2.509,1.8
1938,70,0.194,,,,19749.4,2099.669,2.557,1.84
1939,70,0.202,,,,20071.2,2140.688,2.617,1.88
1940,70,0.202,,,,20393,2188.29,2.661,1.92
1941,70,0.191,,,,21202.218,2242.904,2.763,1.982
1942,70,0.191,,,,22011.436,2305.451,2.836,2.044
1943,70,0.191,,,,22820.654,2376.683,2.923,2.106
1944,70,0.192,,,,23629.872,2455.49,3.011,2.168
1945,70,0.192,,,,24439.09,2540.112,3.082,2.23
1946,70,0.194,,,,25248.308,2624.599,3.174,2.292
1947,70,0.195,,,,26057.526,2714.31,3.242,2.354
1948,70,0.195,,,,26866.744,2813.8,3.366,2.416
1949,70,0.196,,,,27675.962,2937.544,3.568,2.478
1950,70,0.197,0,,,28485.18,3092.754,3.96,2.54
1951,70,0.197,0,,,29494.512,3209.062,4.181,2.628
1952,70,0.197,0,,,30503.844,3296.539,4.288,2.716
1953,70,0.197,0,,,31513.176,3378.359,4.306,2.804
1954,70,0.231,0,,,32522.508,3492.344,4.469,2.892
1955,70,0.233,0,,,33531.84,3608.316,4.644,2.98
1956,70,0.235,0,,,34541.172,3735.851,4.817,3.068
1957,70,0.235,0,,,35550.504,3846.727,4.992,3.156
1958,70,0.234,0,,,36559.836,3957.867,5.121,3.244
1959,70,0.232,0,,104,37569.168,4064.23,5.212,3.332
1960,70,0.231,0,37771861,101,38578.5,4181.465,5.389,3.42
1961,70,0.232,0,38966049,97.7,39998.166,4280.838,5.526,3.517
1962,70,0.234,0,40195318,94.9,41417.832,4406.874,5.68,3.614
1963,70,0.234,0,41462373,90.8,42837.498,4555.728,5.92,3.711
1964,70,0.234,0,42771077,89.3,44257.164,4679.827,6.328,3.808
1965,70,0.233,0,44123863,87.6,45676.83,4840.337,6.615,3.905
1966,70,0.233,0,45519746,86,47096.496,4981.463,6.839,4.002
1967,70,0.236,0,46956208,84.1,48516.162,5123.968,7.136,4.099
1968,70,0.237,0,48431971,82,49935.828,5289.248,7.449,4.196
1969,70,0.241,0,49945278,79.8,51355.494,5444.554,7.656,4.293
1970,70,0.248,0,51493565,77.5,52775.16,5609.462,7.89,4.39
1971,70,0.247,0,53076366,75.1,54332.392,5772.955,8.082,4.503
1972,70,0.249,0,54689944,72.7,55889.624,5950.903,8.463,4.616
1973,70,0.25,0,56324310,70.5,57446.856,6123.473,8.845,4.729
1974,70,0.252,0,57966812,68.5,59004.088,6303.377,9.189,4.842
1975,70,0.252,0,59607947,66.6,60561.32,6476.749,9.48,4.955
1976,70,0.259,0,61242189,64.7,62118.552,6660.293,9.673,5.068
1977,70,0.274,0,62869908,62.8,63675.784,6798.146,9.914,5.181
1978,70,0.297,0,64494872,60.7,65233.016,6992.65,10.434,5.294
1979,70,0.298,0,66123908,58.5,66790.248,7173.589,11.146,5.407
1980,70,0.302,0,67761367,56.1,68347.48,7379.879,11.865,5.52
1981,70,0.304,0,69407623,53.7,70004.097,7565.987,12.323,5.66
1982,70,0.313,0,71058650,51.4,71660.714,7718.114,12.218,5.8
1983,70,0.322,0,72709306,49.2,73317.331,7858.877,11.793,5.94
1984,70,0.322,0,74352631,47.3,74973.948,8023.669,11.664,6.08
1985,70,0.324,0,75983486,45.5,76630.565,8214.834,11.476,6.22
1986,70,0.326,0,77599105,43.8,78287.182,8392.568,11.053,6.36
1987,70,0.33,0,79200081,42.1,79943.799,8552.471,10.902,6.5
1988,70,0.347,0,80788725,40.5,81600.416,8734.84,10.842,6.64
1989,70,0.372,0,82368930,38.8,83257.033,8888.198,11.044,6.78
1990,70,0.396,0,83943135,37.1,84913.65,9068.176,11.389,6.92
1991,70,0.416,0,85512621,35.4,86414.947,9231.606,11.635,7.031
1992,70,0.439,0,87075136,33.7,87916.244,9387.637,11.883,7.142
1993,70,0.456,0,88625440,32,89417.541,9566.864,11.983,7.253
1994,70,0.473,0,90156396,30.4,90918.838,9731.607,12.043,7.364
1995,70,0.485,0,91663290,28.8,92420.135,9839.173,11.742,7.475
1996,70,0.513,0,93147045,27.3,93921.432,9992.679,12.059,7.586
1997,70,0.548,0,94611008,25.8,95422.729,10185.943,12.58,7.697
1998,70,0.601,0,96056313,24.3,96924.026,10358.868,12.948,7.808
1999,70,0.604,0,97484823,22.9,98425.323,10501.939,13.346,7.919
2000,70,0.641,0,98899845,21.6,99926.62,10636.704,13.653,8.03
2001,70,0.682,0,100298152,20.4,,10775.051,13.645,8.075
2002,70,0.695,0,101684764,19.3,,10898.085,13.635,8.12
2003,70,0.703,0,103081020,18.2,,11016.656,13.713,8.165
2004,70,0.711,0,104514934,17.4,,11138.596,14.061,8.21
2005,70,0.711,0,106005199,16.7,,11313.743,14.332,8.255
2006,70,0.672,0,107560155,16.2,,11479.812,14.584,8.3
2007,70,0.637,0,109170503,15.8,,11657.849,14.729,8.345
2008,70,0.646,0,110815272,15.4,,11795.028,14.771,8.39
2009,70,0.647,0,112463886,15,,11908.825,14.425,8.435
2010,70,0.654,0,114092961,14.4,,12105.354,14.779,8.48
2011,70,0.652,0,115695468,13.8,,12285.643,15.128,8.48
2012,70,0.649,0,117274156,13.1,,12475.351,15.415,8.48
2013,70,0.623,0,118827158,12.5,,12621.672,15.571,8.48
2014,70,0.623,0,120355137,11.9,,12794.271,15.737,8.48
2015,70,0.633,0,121858251,11.3,,12920.031,16.113,8.48
2016,70,0.636,0,123333379,,,13059.233,16.32,8.48
2017,70,0.63,0,124777326,,,13172.998,16.647,8.48
2018,70,0.674,0,126190782,,,13316.406,16.885,8.48
2019,70,0.669,0,127575529,,,13388.489,16.814,8.48
2020,70,0.647,0,128932753,,,,,8.48
2021,70,0.628,0,,,,,,8.48
1900,115,0.149,,,,,,,
1901,115,0.149,,,,,,,
1902,115,0.149,,,,,,,
1903,115,0.149,,,,,,,
1904,115,0.149,,,,,,,
1905,115,0.149,,,,,,,
1906,115,0.151,,,,,,,
1907,115,0.15,,,,,,,
1908,115,0.15,,,,,,,
1909,115,0.15,,,,,,,
1910,115,0.15,,,,95,,,
1911,115,0.15,,,,99.1,,,
1912,115,0.15,,,,103.2,,,
1913,115,0.15,,,,107.3,,,
1914,115,0.15,,,,111.4,,,
1915,115,0.15,,,,115.5,,,
1916,115,0.15,,,,119.6,,,
1917,115,0.15,,,,123.7,,,
1918,115,0.15,,,,127.8,,,
1919,115,0.15,,,,131.9,,,
1920,115,0.15,,,,136,,,
1921,115,0.15,,,,137.7,,,
1922,115,0.15,,,,139.4,,,
1923,115,0.15,,,,141.1,,,
1924,115,0.15,,,,142.8,,,
1925,115,0.15,,,,144.5,,,
1926,115,0.15,,,,146.2,,,
1927,115,0.15,,,,147.9,,,
1928,115,0.15,,,,149.6,,,
1929,115,0.15,,,,151.3,,,
1930,115,0.15,,,,153,,,
1931,115,0.15,,,,156.1,,,
1932,115,0.15,,,,159.2,,,
1933,115,0.15,,,,162.3,,,
1934,115,0.15,,,,165.4,,,
1935,115,0.15,,,,168.5,,,
1936,115,0.15,,,,171.6,,,
1937,115,0.154,,,,174.7,,,
1938,115,0.154,,,,177.8,,,
1939,115,0.154,,,,180.9,,,
1940,115,0.153,,,,184,,,
1941,115,0.153,,,,186.407,,,
1942,115,0.153,,,,188.814,,,
1943,115,0.153,,,,191.22,,,
1944,115,0.154,,,,193.627,,,
1945,115,0.154,,,,196.034,,,
1946,115,0.157,,,,198.441,,,
1947,115,0.157,,,,200.848,,,
1948,115,0.157,,,,203.254,,,
1949,115,0.368,,,,205.661,,,
1950,115,0.513,,,,208.068,,,
1951,115,0.511,,,,215.661,,,
1952,115,0.511,,,,223.254,,,
1953,115,0.511,,,,230.848,,,
1954,115,0.511,,,,238.441,,,
1955,115,0.529,,,,246.034,,,
1956,115,0.532,,,,253.627,,,
1957,115,0.532,,,,261.22,,,
1958,115,0.534,,,,268.814,,,
1959,115,0.536,,,,276.407,,,
1960,115,0.536,,287870,,284,31.407,3.866,
1961,115,0.536,,295913,,292.8,31.713,3.942,
1962,115,0.536,,303894,,301.6,32.369,4.048,
1963,115,0.535,,311945,,310.4,33.032,4.199,
1964,115,0.535,,320267,,319.2,33.86,4.448,
1965,115,0.535,,328939,,328,34.88,4.791,
1966,115,0.535,,338155,,336.8,35.965,5.188,
1967,115,0.539,,347673,,345.6,36.869,5.607,
1968,115,0.539,,356551,,354.4,37.692,5.856,
1969,115,0.539,,363574,,363.2,38.25,5.979,
1970,115,0.539,,367926,,372,38.528,5.938,
1971,115,0.539,,369230,,370.2,38.736,6.094,
1972,115,0.539,,367907,,368.4,38.581,6.229,
1973,115,0.538,,364907,,366.6,38.414,6.381,
1974,115,0.536,,361665,,364.8,37.933,6.38,
1975,115,0.726,0,359234,,363,37.844,6.709,
1976,115,0.744,0,357949,,361.2,37.929,7.107,
1977,115,0.746,0,357649,,359.4,38.11,7.619,
1978,115,0.756,0,358103,,357.6,38.354,8.013,
1979,115,0.756,0,358826,,355.8,38.207,7.961,
1980,115,0.249,2,359531,40,354,37.957,7.736,
1981,115,0.178,0,360144,49.55,358.1,38.166,7.786,
1982,115,0.172,0,360927,59.1,362.2,38.117,7.652,
1983,115,0.168,0,362282,48.1,366.3,38.339,7.514,
1984,115,0.168,0,364722,46.9,370.4,38.516,7.428,
1985,115,0.177,0,368636,45.9,374.5,39.273,7.491,
1986,115,0.179,0,374133,44.7,378.6,39.722,7.418,
1987,115,0.193,0,381033,43.8,382.7,40.228,7.169,
1988,115,0.638,0,388877,42.8,386.8,41.129,7.379,
1989,115,0.742,0,397082,41.8,390.9,42.197,7.573,
1990,115,0.732,0,405169,40.7,395,42.901,7.687,
1991,115,0.458,0,413009,39.7,398.7,43.84,7.682,
1992,115,0.776,0,420658,38.6,402.4,44.559,7.59,
1993,115,0.779,0,428028,37.5,406.1,45.173,7.243,
1994,115,0.779,0,435099,36.5,409.8,45.961,7.183,
1995,115,0.779,0,441851,35.4,413.5,46.445,7.095,
1996,115,0.786,0,448207,34.3,417.2,47.525,7.303,
1997,115,0.789,0,454165,33.3,420.9,48.517,7.539,
1998,115,0.789,0,459838,32.2,424.6,49.057,7.617,
1999,115,0.789,0,465380,31.2,428.3,49.169,7.492,
2000,115,0.797,0,470944,30.2,432,49.982,7.671,
2001,115,0.792,0,476574,29.2,,50.687,7.932,
2002,115,0.792,0,482228,28.2,,51.304,8.25,
2003,115,0.792,0,487938,27.4,,52.008,8.667,
2004,115,0.792,0,493680,26.6,,52.865,9.156,
2005,115,0.788,0,499461,25.8,,53.429,9.545,
2006,115,0.785,0,505292,25,,54.031,10.008,
2007,115,0.783,0,511181,24.3,,54.634,10.481,
2008,115,0.784,0,517122,23.5,,55.437,10.918,
2009,115,0.784,0,523113,22.7,,56.237,11.29,
2010,115,0.777,0,529126,22.1,,56.876,11.815,
2011,115,0.77,0,535177,21.4,,57.832,12.351,
2012,115,0.77,0,541247,20.8,,58.617,12.672,
2013,115,0.767,0,547295,20.1,,59.267,12.831,
2014,115,0.767,0,553278,19.5,,59.82,12.786,
2015,115,0.774,0,559136,19,,60.345,12.304,
2016,115,0.778,0,564883,,,60.365,11.779,
2017,115,0.766,0,570501,,,61.221,11.76,
2018,115,0.766,0,575987,,,62.027,11.705,
2019,115,0.766,0,581363,,,62.218,11.752,
2020,115,0.761,0,586634,,,,,
2021,115,0.76,0,,,,,,
1789,380,0.189,,,,,231.729,1.687,
1790,380,0.189,,,,,234.129,1.694,
1791,380,0.189,,,,,235.374,1.698,
1792,380,0.203,,,,,237.505,1.677,
1793,380,0.188,,,,,239.43,1.64,
1794,380,0.188,,,,,239.985,1.631,
1795,380,0.188,,,,,241.391,1.638,
1796,380,0.188,,,,,243.146,1.625,
1797,380,0.188,,,,,244.215,1.598,
1798,380,0.188,,,,,245.916,1.555,
1799,380,0.188,,,,,247.822,1.535,
1800,380,0.188,,,240,2500,249.407,1.502,
1801,380,0.188,,,204,2489.6,250.391,1.487,
1802,380,0.188,,,182,2479.2,253.03,1.489,
1803,380,0.188,,,184,2468.8,254.096,1.488,
1804,380,0.188,,,185,2458.4,255.117,1.471,
1805,380,0.188,,,176,2448,256.991,1.479,
1806,380,0.188,,,230,2437.6,258.216,1.473,
1807,380,0.188,,,188,2427.2,259.68,1.448,
1808,380,0.188,,,220,2416.8,261.165,1.412,
1809,380,0.261,,,232,2406.4,261.12,1.396,
1810,380,0.274,,,193,2396,261.647,1.416,
1811,380,0.274,,,194,2413.7,263.652,1.45,
1812,380,0.269,,,204,2431.4,265.602,1.451,
1813,380,0.259,,,198,2449.1,267.477,1.455,
1814,380,0.259,,,195,2466.8,269.093,1.477,
1815,380,0.26,,,170,2484.5,269.609,1.496,
1816,380,0.26,,,184,2502.2,270.312,1.516,
1817,380,0.261,,,179,2519.9,271.765,1.518,
1818,380,0.261,,,169,2537.6,273.095,1.516,
1819,380,0.261,,,183,2555.3,275.083,1.525,
1820,380,0.274,,,163,2573,275.927,1.54,
1821,380,0.274,,,176,2603.3,278.754,1.559,
1822,380,0.274,,,162,2633.6,281.439,1.572,
1823,380,0.273,,,148,2663.9,284.571,1.581,
1824,380,0.273,,,156,2694.2,288.867,1.601,
1825,380,0.273,,,154,2724.5,292.798,1.621,
1826,380,0.273,,,172,2754.8,295.606,1.621,
1827,380,0.273,,,161,2785.1,299.429,1.603,
1828,380,0.273,,,170,2815.4,301.628,1.61,
1829,380,0.273,,,194,2845.7,304.124,1.617,
1830,380,0.278,,,181,2876,306.516,1.611,
1831,380,0.278,,,198,2900.7,308.412,1.617,
1832,380,0.278,,,166,2925.4,311.035,1.621,
1833,380,0.278,,,159,2950.1,313.675,1.632,
1834,380,0.277,,,174,2974.8,315.904,1.657,
1835,380,0.277,,,143,2999.5,319.321,1.664,
1836,380,0.277,,,153,3024.2,322.511,1.678,
1837,380,0.277,,,195,3048.9,325.159,1.675,
1838,380,0.277,,,176,3073.6,329.418,1.67,
1839,380,0.277,,,164,3098.3,331.059,1.678,
1840,380,,,,146,3123,332.528,1.672,
1841,380,0.307,,,159,3156.9,336.762,1.667,
1842,380,0.307,,,162,3190.8,340.561,1.657,
1843,380,0.307,,,159,3224.7,343.694,1.666,
1844,380,0.307,,,141,3258.6,346.96,1.686,
1845,380,0.311,,,149,3292.5,351.553,1.708,
1846,380,0.311,,,163,3326.4,353.811,1.717,
1847,380,0.309,,,173,3360.3,358.047,1.728,
1848,380,0.309,,,141,3394.2,360.61,1.756,
1849,380,0.309,,,142,3428.1,363.894,1.78,
1850,380,0.31,,,146,3462,367.869,1.8,
1851,380,0.31,,,152,3498.2,372.41,1.809,
1852,380,0.31,,,163,3534.4,375.969,1.799,
1853,380,0.31,,,161,3570.6,377.636,1.822,
1854,380,0.31,,,126,3606.8,381.223,1.85,
1855,380,0.31,,,145,3643,384.649,1.898,
1856,380,0.31,,,145,3679.2,388.964,1.919,
1857,380,0.31,,,165,3715.4,391.783,1.953,
1858,380,0.31,,,143,3751.6,396.826,1.982,
1859,380,0.309,,,143,3787.8,401.181,2.007,
1860,380,0.309,,,124,3824,405.025,2.006,
1861,380,0.309,,,137,3858,412.032,2.004,
1862,380,0.309,,,139,3892,418.731,1.999,
1863,380,0.309,,,133,3926,424.353,2.032,
1864,380,0.309,,,137,3960,429.761,2.054,
1865,380,0.311,,,135,3994,434.74,2.079,
1866,380,0.315,,,127,4028,437.299,2.078,
1867,380,0.315,,,140,4062,442.092,2.086,
1868,380,0.315,,,168,4096,440.803,2.065,
1869,380,0.316,,,146,4130,442.585,2.117,
1870,380,0.316,,,132,4164,441.704,2.21,4.23
1871,380,0.316,,,114,4204.8,445.958,2.317,4.268
1872,380,0.314,,,128,4245.6,449.542,2.38,4.306
1873,380,0.314,,,129,4286.4,452.926,2.444,4.344
1874,380,0.314,,,147,4327.2,456.173,2.497,4.382
1875,380,0.314,,,149,4368,460.954,2.489,4.42
1876,380,0.314,,,140,4408.8,467.019,2.538,4.458
1877,380,0.314,,,126,4449.6,470.163,2.538,4.496
1878,380,0.314,,,134,4490.4,475.117,2.52,4.534
1879,380,0.314,,,111,4531.2,478.822,2.559,4.572
1880,380,0.314,,,121,4572,480.669,2.559,4.61
1881,380,0.315,,,113,4592.8,483.361,2.587,4.651
1882,380,0.315,,,125,4613.6,483.045,2.598,4.692
1883,380,0.315,,,116,4634.4,487.219,2.657,4.733
1884,380,0.316,,,113,4655.2,488.715,2.675,4.774
1885,380,0.316,,,114,4676,491.389,2.686,4.815
1886,380,0.316,,,111,4696.8,494.218,2.715,4.856
1887,380,0.316,,,103,4717.6,496.632,2.688,4.897
1888,380,0.316,,,100,4738.4,499.35,2.722,4.938
1889,380,0.316,,,107,4759.2,500.575,2.769,4.979
1890,380,0.316,,,103,4780,503.927,2.839,5.02
1891,380,0.316,,,108,4813.7,508.584,2.922,5.067
1892,380,0.316,,,109,4847.4,507.681,2.957,5.114
1893,380,0.316,,,101,4881.1,509.835,3.021,5.161
1894,380,0.316,,,101,4914.8,514.161,3.069,5.208
1895,380,0.316,,,95,4948.5,518.216,3.18,5.255
1896,380,0.316,,,103,4982.2,522.664,3.284,5.302
1897,380,0.316,,,99,5015.9,526.807,3.38,5.349
1898,380,0.316,,,91,5049.6,531.329,3.503,5.396
1899,380,0.315,,,112,5083.3,535.441,3.612,5.443
1900,380,0.316,,,99,5117,541.446,3.689,5.49
1901,380,0.316,,,103,5150.2,543.467,3.739,5.53
1902,380,0.315,,,86,5183.4,547.782,3.8,5.57
1903,380,0.311,,,93,5216.6,551.219,3.908,5.61
1904,380,0.311,,,84,5249.8,554.918,4.001,5.65
1905,380,0.311,,,88,5283,559.032,4.078,5.69
1906,380,0.31,,,81,5316.2,563.707,4.263,5.73
1907,380,0.311,,,77,5349.4,567.23,4.436,5.77
1908,380,0.311,,,85,5382.6,573.402,4.497,5.81
1909,380,0.323,,,72,5415.8,574.849,4.565,5.85
1910,380,0.324,,,75,5449,583.209,4.686,5.89
1911,380,0.327,,,72,5491.7,587.686,4.767,5.925
1912,380,0.333,,,71,5534.4,593.831,4.955,5.96
1913,380,0.334,,,70,5577.1,598.259,5.174,5.995
1914,380,0.328,,,73,5619.8,603.302,5.265,6.03
1915,380,0.327,,,76,5662.5,606.142,5.373,6.065
1916,380,0.327,,,70,5705.2,610.497,5.409,6.1
1917,380,0.43,,,65,5747.9,615.195,5.323,6.135
1918,380,0.482,,,65,5790.6,615.706,5.181,6.17
1919,380,0.484,,,70,5833.3,621.301,5.193,6.205
1920,380,0.491,,,63,5876,626.055,5.225,6.24
1921,380,0.497,,,64,5901.5,628.34,5.207,6.271
1922,380,0.704,,,63,5927,632.931,5.36,6.302
1923,380,0.704,,,56,5952.5,636.502,5.561,6.333
1924,380,0.707,,,60,5978,637.756,5.797,6.364
1925,380,0.707,,,56,6003.5,639.211,5.999,6.395
1926,380,0.707,,,56,6029,641.477,6.194,6.426
1927,380,0.707,,,60,6054.5,644.435,6.371,6.457
1928,380,0.707,,,59,6080,646.924,6.603,6.488
1929,380,0.707,,,59,6105.5,650.599,6.884,6.519
1930,380,0.707,,,55,6131,652.619,6.959,6.55
1931,380,0.704,,,57,6153.5,654.429,6.926,6.58
1932,380,0.707,,,51,6176,653.583,6.857,6.61
1933,380,0.715,,,50,6198.5,655.761,6.966,6.64
1934,380,0.715,,,47,6221,661.745,7.236,6.67
1935,380,0.715,,,46,6243.5,664.094,7.555,6.7
1936,380,0.702,,,43,6266,667.691,7.856,6.73
1937,380,0.702,,,45,6288.5,671.133,8.13,6.76
1938,380,0.699,,,43,6311,671.555,8.381,6.79
1939,380,0.686,,,40,6333.5,676.887,8.38,6.82
1940,380,0.677,,,39,6356,678.167,8.259,6.85
1941,380,0.677,,,37,6421.8,682.563,8.154,6.903
1942,380,0.677,,,29,6487.601,688.379,8.183,6.956
